x,y
0.7039278658296401,0.09385705154020865
0.7039278663892024,0.09385705201839001
0.7131422929008255,0.09508564212680738
0.6993206524033239,0.09324275678922882
0.7131422924494418,0.09508564160096171
0.7085350794937288,0.09447134685064082
0.7039278658296401,0.09385705154020865
0.7085350794937288,0.09447134685064082
0.708535079464076,0.09447134684668711
0.708535079464076,0.09447134684668711
0.6993206524033239,0.09324275678922882
0.717749506281015,0.09569993687163696
0.7039278658296401,0.09385705154020865
